execution_id,run_id,project_id,project_name,test_case_id,test_case_name,test_case_created_at,creation_week_start,suite_name,execution_started_at,execution_week_start,environment,browser,status,duration_seconds,retry_attempt,is_flaky,consecutive_failure_count,repeat_failure_flag,failure_category,agent_name,katalon_version
EXEC-0000016,RUN-00003,KT-101,WebOps,KT-101-TC-008,Session timeout - WebOps,2026-06-03T00:00:00Z,2026-06-01,Regression,2026-06-03T16:07:59Z,2026-06-01,Staging,Chrome,PASSED,115,0,0,0,0,,agent-4,10.2.1
EXEC-0000017,RUN-00004,KT-101,WebOps,KT-101-TC-001,Login valid user - WebOps,2026-05-25T00:00:00Z,2026-05-25,Smoke,2026-06-06T16:44:52Z,2026-06-01,QA,Edge,PASSED,423,0,0,0,0,,agent-5,10.2.0
EXEC-0000018,RUN-00004,KT-101,WebOps,KT-101-TC-002,Password reset - WebOps,2026-05-26T00:00:00Z,2026-05-25,Regression,2026-06-05T15:02:03Z,2026-06-01,QA,Chrome,PASSED,308,0,0,0,0,,agent-6,10.1.1
EXEC-0000019,RUN-00004,KT-101,WebOps,KT-101-TC-003,Search records - WebOps,2026-05-27T00:00:00Z,2026-05-25,Checkout,2026-06-06T12:46:07Z,2026-06-01,Staging,Edge,PASSED,217,0,0,0,0,,agent-6,10.2.1
EXEC-0000020,RUN-00004,KT-101,WebOps,KT-101-TC-004,Create record - WebOps,2026-05-28T00:00:00Z,2026-05-25,Smoke,2026-06-06T15:53:18Z,2026-06-01,QA,Edge,PASSED,48,0,0,0,0,,agent-6,10.2.0
EXEC-0000021,RUN-00004,KT-101,WebOps,KT-101-TC-005,Edit record - WebOps,2026-06-05T00:00:00Z,2026-06-01,Regression,2026-06-05T12:30:55Z,2026-06-01,Staging,Edge,PASSED,415,0,0,0,0,,agent-1,10.1.1
EXEC-0000022,RUN-00004,KT-101,WebOps,KT-101-TC-007,Role permissions - WebOps,2026-06-02T00:00:00Z,2026-06-01,Smoke,2026-06-06T11:16:30Z,2026-06-01,QA,Chrome,PASSED,412,0,0,0,0,,agent-6,10.1.1
EXEC-0000023,RUN-00004,KT-101,WebOps,KT-101-TC-008,Session timeout - WebOps,2026-06-03T00:00:00Z,2026-06-01,Regression,2026-06-04T12:11:41Z,2026-06-01,QA,Chrome,PASSED,328,0,0,0,0,,agent-2,10.2.1
EXEC-0000024,RUN-00005,KT-101,WebOps,KT-101-TC-001,Login valid user - WebOps,2026-05-25T00:00:00Z,2026-05-25,Smoke,2026-06-10T14:55:43Z,2026-06-08,QA,Chrome,PASSED,384,0,0,0,0,,agent-4,10.1.1
EXEC-0000025,RUN-00005,KT-101,WebOps,KT-101-TC-002,Password reset - WebOps,2026-05-26T00:00:00Z,2026-05-25,Regression,2026-06-08T15:03:17Z,2026-06-08,Staging,Edge,PASSED,430,0,0,0,0,,agent-2,10.2.1
EXEC-0000026,RUN-00005,KT-101,WebOps,KT-101-TC-003,Search records - WebOps,2026-05-27T00:00:00Z,2026-05-25,Checkout,2026-06-10T07:06:36Z,2026-06-08,Staging,Edge,PASSED,118,0,0,0,0,,agent-6,10.2.0
EXEC-0000027,RUN-00005,KT-101,WebOps,KT-101-TC-004,Create record - WebOps,2026-05-28T00:00:00Z,2026-05-25,Smoke,2026-06-08T13:20:45Z,2026-06-08,Staging,Edge,PASSED,74,0,0,0,0,,agent-2,10.1.1
EXEC-0000028,RUN-00005,KT-101,WebOps,KT-101-TC-005,Edit record - WebOps,2026-06-05T00:00:00Z,2026-06-01,Regression,2026-06-10T08:51:34Z,2026-06-08,Staging,Edge,PASSED,22,0,0,0,0,,agent-5,10.2.1
EXEC-0000029,RUN-00005,KT-101,WebOps,KT-101-TC-006,Delete record - WebOps,2026-06-01T00:00:00Z,2026-06-01,Checkout,2026-06-10T15:22:23Z,2026-06-08,Staging,Chrome,PASSED,319,0,0,0,0,,agent-3,10.2.1
EXEC-0000030,RUN-00005,KT-101,WebOps,KT-101-TC-007,Role permissions - WebOps,2026-06-02T00:00:00Z,2026-06-01,Smoke,2026-06-08T13:07:14Z,2026-06-08,QA,Edge,FAILED,376,0,0,1,0,Environment,agent-5,10.2.1
EXEC-0000031,RUN-00005,KT-101,WebOps,KT-101-TC-008,Session timeout - WebOps,2026-06-03T00:00:00Z,2026-06-01,Regression,2026-06-10T14:47:03Z,2026-06-08,QA,Chrome,PASSED,78,0,0,0,0,,agent-2,10.2.0
EXEC-0000032,RUN-00005,KT-101,WebOps,KT-101-TC-009,Export results - WebOps,2026-06-11T00:00:00Z,2026-06-08,Checkout,2026-06-11T15:25:02Z,2026-06-08,QA,Edge,PASSED,330,0,0,0,0,,agent-2,10.2.0
EXEC-0000033,RUN-00005,KT-101,WebOps,KT-101-TC-010,Filter results - WebOps,2026-06-12T00:00:00Z,2026-06-08,Smoke,2026-06-12T13:41:34Z,2026-06-08,Staging,Chrome,PASSED,214,0,0,0,0,,agent-4,10.2.1
EXEC-0000034,RUN-00005,KT-101,WebOps,KT-101-TC-011,Bulk update - WebOps,2026-06-08T00:00:00Z,2026-06-08,Regression,2026-06-09T15:27:54Z,2026-06-08,Staging,Edge,PASSED,149,0,0,0,0,,agent-6,10.1.1
EXEC-0000035,RUN-00005,KT-101,WebOps,KT-101-TC-012,Audit history - WebOps,2026-06-09T00:00:00Z,2026-06-08,Checkout,2026-06-09T14:36:50Z,2026-06-08,QA,Chrome,PASSED,171,0,0,0,0,,agent-6,10.1.1
EXEC-0000036,RUN-00006,KT-101,WebOps,KT-101-TC-001,Login valid user - WebOps,2026-05-25T00:00:00Z,2026-05-25,Smoke,2026-06-12T12:34:38Z,2026-06-08,Staging,Edge,PASSED,450,0,0,0,0,,agent-2,10.2.1
EXEC-0000037,RUN-00006,KT-101,WebOps,KT-101-TC-002,Password reset - WebOps,2026-05-26T00:00:00Z,2026-05-25,Regression,2026-06-13T18:41:56Z,2026-06-08,Staging,Edge,PASSED,393,0,0,0,0,,agent-2,10.2.0
EXEC-0000038,RUN-00006,KT-101,WebOps,KT-101-TC-003,Search records - WebOps,2026-05-27T00:00:00Z,2026-05-25,Checkout,2026-06-11T16:38:42Z,2026-06-08,Staging,Edge,PASSED,129,0,0,0,0,,agent-1,10.2.0
EXEC-0000039,RUN-00006,KT-101,WebOps,KT-101-TC-004,Create record - WebOps,2026-05-28T00:00:00Z,2026-05-25,Smoke,2026-06-12T12:17:16Z,2026-06-08,QA,Edge,PASSED,270,0,0,0,0,,agent-1,10.1.1
EXEC-0000040,RUN-00006,KT-101,WebOps,KT-101-TC-005,Edit record - WebOps,2026-06-05T00:00:00Z,2026-06-01,Regression,2026-06-12T16:27:02Z,2026-06-08,QA,Chrome,PASSED,313,0,0,0,0,,agent-1,10.2.1
EXEC-0000041,RUN-00006,KT-101,WebOps,KT-101-TC-006,Delete record - WebOps,2026-06-01T00:00:00Z,2026-06-01,Checkout,2026-06-12T12:00:04Z,2026-06-08,Staging,Edge,PASSED,182,0,0,0,0,,agent-4,10.1.1
EXEC-0000042,RUN-00006,KT-101,WebOps,KT-101-TC-007,Role permissions - WebOps,2026-06-02T00:00:00Z,2026-06-01,Smoke,2026-06-11T07:03:21Z,2026-06-08,QA,Chrome,PASSED,303,0,0,0,0,,agent-5,10.2.1
EXEC-0000043,RUN-00006,KT-101,WebOps,KT-101-TC-010,Filter results - WebOps,2026-06-12T00:00:00Z,2026-06-08,Smoke,2026-06-13T07:51:25Z,2026-06-08,QA,Chrome,PASSED,146,0,0,0,0,,agent-5,10.2.1
EXEC-0000044,RUN-00006,KT-101,WebOps,KT-101-TC-011,Bulk update - WebOps,2026-06-08T00:00:00Z,2026-06-08,Regression,2026-06-11T08:18:49Z,2026-06-08,QA,Edge,PASSED,290,0,0,0,0,,agent-2,10.2.0
EXEC-0000045,RUN-00006,KT-101,WebOps,KT-101-TC-012,Audit history - WebOps,2026-06-09T00:00:00Z,2026-06-08,Checkout,2026-06-11T18:21:42Z,2026-06-08,QA,Edge,PASSED,199,0,0,0,0,,agent-1,10.1.1
EXEC-0000046,RUN-00007,KT-101,WebOps,KT-101-TC-001,Login valid user - WebOps,2026-05-25T00:00:00Z,2026-05-25,Smoke,2026-06-15T14:00:09Z,2026-06-15,QA,Edge,SKIPPED,281,0,0,0,0,,agent-3,10.2.1
EXEC-0000047,RUN-00007,KT-101,WebOps,KT-101-TC-002,Password reset - WebOps,2026-05-26T00:00:00Z,2026-05-25,Regression,2026-06-16T13:15:09Z,2026-06-15,QA,Chrome,PASSED,338,0,0,0,0,,agent-3,10.1.1
EXEC-0000048,RUN-00007,KT-101,WebOps,KT-101-TC-003,Search records - WebOps,2026-05-27T00:00:00Z,2026-05-25,Checkout,2026-06-17T18:20:53Z,2026-06-15,Staging,Chrome,PASSED,356,0,0,0,0,,agent-5,10.1.1
EXEC-0000049,RUN-00007,KT-101,WebOps,KT-101-TC-004,Create record - WebOps,2026-05-28T00:00:00Z,2026-05-25,Smoke,2026-06-15T14:59:11Z,2026-06-15,Staging,Edge,PASSED,284,0,0,0,0,,agent-5,10.2.1
EXEC-0000050,RUN-00007,KT-101,WebOps,KT-101-TC-005,Edit record - WebOps,2026-06-05T00:00:00Z,2026-06-01,Regression,2026-06-16T13:53:48Z,2026-06-15,QA,Edge,FAILED,224,0,0,1,0,Assertion,agent-5,10.2.1
EXEC-0000051,RUN-00007,KT-101,WebOps,KT-101-TC-006,Delete record - WebOps,2026-06-01T00:00:00Z,2026-06-01,Checkout,2026-06-17T11:10:29Z,2026-06-15,QA,Chrome,PASSED,331,0,0,0,0,,agent-3,10.2.1
EXEC-0000052,RUN-00007,KT-101,WebOps,KT-101-TC-007,Role permissions - WebOps,2026-06-02T00:00:00Z,2026-06-01,Smoke,2026-06-17T07:10:48Z,2026-06-15,QA,Edge,PASSED,324,0,0,0,0,,agent-1,10.1.1
EXEC-0000053,RUN-00007,KT-101,WebOps,KT-101-TC-008,Session timeout - WebOps,2026-06-03T00:00:00Z,2026-06-01,Regression,2026-06-15T17:35:46Z,2026-06-15,QA,Chrome,PASSED,437,0,0,0,0,,agent-2,10.1.1
EXEC-0000054,RUN-00007,KT-101,WebOps,KT-101-TC-009,Export results - WebOps,2026-06-11T00:00:00Z,2026-06-08,Checkout,2026-06-16T08:32:57Z,2026-06-15,QA,Chrome,PASSED,352,0,0,0,0,,agent-3,10.2.0
EXEC-0000055,RUN-00007,KT-101,WebOps,KT-101-TC-010,Filter results - WebOps,2026-06-12T00:00:00Z,2026-06-08,Smoke,2026-06-16T10:32:45Z,2026-06-15,QA,Edge,PASSED,60,0,0,0,0,,agent-1,10.2.1
EXEC-0000056,RUN-00007,KT-101,WebOps,KT-101-TC-011,Bulk update - WebOps,2026-06-08T00:00:00Z,2026-06-08,Regression,2026-06-16T15:56:08Z,2026-06-15,Staging,Edge,SKIPPED,115,0,0,0,0,,agent-3,10.2.1
EXEC-0000057,RUN-00007,KT-101,WebOps,KT-101-TC-012,Audit history - WebOps,2026-06-09T00:00:00Z,2026-06-08,Checkout,2026-06-15T10:53:22Z,2026-06-15,Staging,Edge,PASSED,361,0,0,0,0,,agent-6,10.2.0
EXEC-0000058,RUN-00007,KT-101,WebOps,KT-101-TC-013,API authorization - WebOps,2026-06-17T00:00:00Z,2026-06-15,Smoke,2026-06-17T12:05:11Z,2026-06-15,Staging,Edge,PASSED,281,0,0,0,0,,agent-4,10.2.0
EXEC-0000059,RUN-00007,KT-101,WebOps,KT-101-TC-014,Invalid input - WebOps,2026-06-18T00:00:00Z,2026-06-15,Regression,2026-06-18T10:00:10Z,2026-06-15,Staging,Chrome,FAILED,434,0,0,5,1,Locator changed,agent-3,10.2.1
EXEC-0000060,RUN-00007,KT-101,WebOps,KT-101-TC-015,Pagination - WebOps,2026-06-19T00:00:00Z,2026-06-15,Checkout,2026-06-19T11:25:23Z,2026-06-15,QA,Edge,PASSED,31,0,0,0,0,,agent-4,10.1.1
EXEC-0000061,RUN-00007,KT-101,WebOps,KT-101-TC-016,Notification delivery - WebOps,2026-06-15T00:00:00Z,2026-06-15,Smoke,2026-06-16T16:23:08Z,2026-06-15,QA,Chrome,PASSED,191,0,0,0,0,,agent-1,10.2.0
EXEC-0000062,RUN-00008,KT-101,WebOps,KT-101-TC-001,Login valid user - WebOps,2026-05-25T00:00:00Z,2026-05-25,Smoke,2026-06-19T17:10:12Z,2026-06-15,Staging,Edge,PASSED,422,0,0,0,0,,agent-3,10.2.0
EXEC-0000063,RUN-00008,KT-101,WebOps,KT-101-TC-002,Password reset - WebOps,2026-05-26T00:00:00Z,2026-05-25,Regression,2026-06-19T12:16:20Z,2026-06-15,QA,Chrome,PASSED,424,0,0,0,0,,agent-6,10.2.1
EXEC-0000064,RUN-00008,KT-101,WebOps,KT-101-TC-003,Search records - WebOps,2026-05-27T00:00:00Z,2026-05-25,Checkout,2026-06-20T17:53:54Z,2026-06-15,QA,Chrome,SKIPPED,259,0,0,0,0,,agent-3,10.1.1
EXEC-0000065,RUN-00008,KT-101,WebOps,KT-101-TC-004,Create record - WebOps,2026-05-28T00:00:00Z,2026-05-25,Smoke,2026-06-19T14:02:18Z,2026-06-15,QA,Chrome,PASSED,246,0,0,0,0,,agent-4,10.2.0
EXEC-0000066,RUN-00008,KT-101,WebOps,KT-101-TC-005,Edit record - WebOps,2026-06-05T00:00:00Z,2026-06-01,Regression,2026-06-20T09:01:15Z,2026-06-15,QA,Edge,PASSED,289,0,0,0,0,,agent-3,10.2.0
EXEC-0000067,RUN-00008,KT-101,WebOps,KT-101-TC-006,Delete record - WebOps,2026-06-01T00:00:00Z,2026-06-01,Checkout,2026-06-18T08:49:13Z,2026-06-15,Staging,Chrome,PASSED,394,1,1,0,0,,agent-3,10.1.1
EXEC-0000068,RUN-00008,KT-101,WebOps,KT-101-TC-007,Role permissions - WebOps,2026-06-02T00:00:00Z,2026-06-01,Smoke,2026-06-18T15:50:32Z,2026-06-15,QA,Chrome,PASSED,320,0,0,0,0,,agent-1,10.2.0
EXEC-0000069,RUN-00008,KT-101,WebOps,KT-101-TC-008,Session timeout - WebOps,2026-06-03T00:00:00Z,2026-06-01,Regression,2026-06-19T08:42:04Z,2026-06-15,QA,Edge,PASSED,302,0,0,0,0,,agent-1,10.2.0
EXEC-0000070,RUN-00008,KT-101,WebOps,KT-101-TC-009,Export results - WebOps,2026-06-11T00:00:00Z,2026-06-08,Checkout,2026-06-18T16:21:43Z,2026-06-15,Staging,Edge,PASSED,349,0,0,0,0,,agent-5,10.2.0
EXEC-0000071,RUN-00008,KT-101,WebOps,KT-101-TC-010,Filter results - WebOps,2026-06-12T00:00:00Z,2026-06-08,Smoke,2026-06-19T16:48:36Z,2026-06-15,QA,Edge,PASSED,286,0,0,0,0,,agent-6,10.2.1
EXEC-0000072,RUN-00008,KT-101,WebOps,KT-101-TC-011,Bulk update - WebOps,2026-06-08T00:00:00Z,2026-06-08,Regression,2026-06-20T13:12:00Z,2026-06-15,Staging,Edge,PASSED,88,0,0,0,0,,agent-5,10.1.1
EXEC-0000073,RUN-00008,KT-101,WebOps,KT-101-TC-013,API authorization - WebOps,2026-06-17T00:00:00Z,2026-06-15,Smoke,2026-06-19T17:13:49Z,2026-06-15,Staging,Edge,PASSED,267,0,0,0,0,,agent-1,10.1.1
EXEC-0000074,RUN-00008,KT-101,WebOps,KT-101-TC-015,Pagination - WebOps,2026-06-19T00:00:00Z,2026-06-15,Checkout,2026-06-19T15:59:28Z,2026-06-15,Staging,Chrome,PASSED,380,0,0,0,0,,agent-6,10.2.0
EXEC-0000075,RUN-00008,KT-101,WebOps,KT-101-TC-016,Notification delivery - WebOps,2026-06-15T00:00:00Z,2026-06-15,Smoke,2026-06-20T11:19:19Z,2026-06-15,Staging,Edge,PASSED,395,0,0,0,0,,agent-2,10.2.0
EXEC-0000076,RUN-00009,KT-101,WebOps,KT-101-TC-001,Login valid user - WebOps,2026-05-25T00:00:00Z,2026-05-25,Smoke,2026-06-24T09:37:39Z,2026-06-22,Staging,Chrome,FAILED,476,1,0,4,1,Test data,agent-4,10.2.0
EXEC-0000077,RUN-00009,KT-101,WebOps,KT-101-TC-002,Password reset - WebOps,2026-05-26T00:00:00Z,2026-05-25,Regression,2026-06-24T13:38:32Z,2026-06-22,Staging,Edge,PASSED,161,0,0,0,0,,agent-1,10.1.1
EXEC-0000078,RUN-00009,KT-101,WebOps,KT-101-TC-003,Search records - WebOps,2026-05-27T00:00:00Z,2026-05-25,Checkout,2026-06-23T15:24:19Z,2026-06-22,Staging,Chrome,PASSED,347,0,0,0,0,,agent-1,10.2.1
EXEC-0000079,RUN-00009,KT-101,WebOps,KT-101-TC-004,Create record - WebOps,2026-05-28T00:00:00Z,2026-05-25,Smoke,2026-06-23T08:16:29Z,2026-06-22,QA,Chrome,PASSED,96,0,0,0,0,,agent-1,10.2.1
EXEC-0000080,RUN-00009,KT-101,WebOps,KT-101-TC-005,Edit record - WebOps,2026-06-05T00:00:00Z,2026-06-01,Regression,2026-06-23T08:01:20Z,2026-06-22,QA,Chrome,PASSED,323,0,0,0,0,,agent-4,10.1.1
EXEC-0000081,RUN-00009,KT-101,WebOps,KT-101-TC-006,Delete record - WebOps,2026-06-01T00:00:00Z,2026-06-01,Checkout,2026-06-23T16:36:50Z,2026-06-22,QA,Edge,PASSED,350,0,0,0,0,,agent-1,10.2.0
EXEC-0000082,RUN-00009,KT-101,WebOps,KT-101-TC-007,Role permissions - WebOps,2026-06-02T00:00:00Z,2026-06-01,Smoke,2026-06-22T15:18:31Z,2026-06-22,Staging,Chrome,PASSED,287,0,0,0,0,,agent-2,10.2.0
EXEC-0000083,RUN-00009,KT-101,WebOps,KT-101-TC-008,Session timeout - WebOps,2026-06-03T00:00:00Z,2026-06-01,Regression,2026-06-22T12:28:31Z,2026-06-22,QA,Edge,PASSED,304,0,0,0,0,,agent-4,10.1.1
EXEC-0000084,RUN-00009,KT-101,WebOps,KT-101-TC-009,Export results - WebOps,2026-06-11T00:00:00Z,2026-06-08,Checkout,2026-06-23T08:45:48Z,2026-06-22,QA,Edge,PASSED,70,0,0,0,0,,agent-4,10.1.1
EXEC-0000085,RUN-00009,KT-101,WebOps,KT-101-TC-010,Filter results - WebOps,2026-06-12T00:00:00Z,2026-06-08,Smoke,2026-06-23T08:25:59Z,2026-06-22,QA,Edge,PASSED,204,0,0,0,0,,agent-4,10.2.0
EXEC-0000086,RUN-00009,KT-101,WebOps,KT-101-TC-011,Bulk update - WebOps,2026-06-08T00:00:00Z,2026-06-08,Regression,2026-06-24T16:53:24Z,2026-06-22,Staging,Edge,PASSED,381,0,0,0,0,,agent-4,10.2.1
EXEC-0000087,RUN-00009,KT-101,WebOps,KT-101-TC-012,Audit history - WebOps,2026-06-09T00:00:00Z,2026-06-08,Checkout,2026-06-24T17:49:12Z,2026-06-22,Staging,Edge,PASSED,491,0,0,0,0,,agent-2,10.2.1
EXEC-0000088,RUN-00009,KT-101,WebOps,KT-101-TC-013,API authorization - WebOps,2026-06-17T00:00:00Z,2026-06-15,Smoke,2026-06-24T18:38:59Z,2026-06-22,QA,Edge,PASSED,312,0,0,0,0,,agent-5,10.2.0
EXEC-0000089,RUN-00009,KT-101,WebOps,KT-101-TC-014,Invalid input - WebOps,2026-06-18T00:00:00Z,2026-06-15,Regression,2026-06-22T14:53:30Z,2026-06-22,Staging,Edge,PASSED,146,0,0,0,0,,agent-4,10.2.1
EXEC-0000090,RUN-00009,KT-101,WebOps,KT-101-TC-015,Pagination - WebOps,2026-06-19T00:00:00Z,2026-06-15,Checkout,2026-06-23T07:31:15Z,2026-06-22,Staging,Edge,PASSED,230,0,0,0,0,,agent-3,10.2.1
EXEC-0000091,RUN-00009,KT-101,WebOps,KT-101-TC-016,Notification delivery - WebOps,2026-06-15T00:00:00Z,2026-06-15,Smoke,2026-06-23T18:03:13Z,2026-06-22,QA,Edge,PASSED,56,0,0,0,0,,agent-5,10.1.1
EXEC-0000092,RUN-00009,KT-101,WebOps,KT-101-TC-017,File upload - WebOps,2026-06-23T00:00:00Z,2026-06-22,Regression,2026-06-23T08:31:03Z,2026-06-22,Staging,Edge,PASSED,373,0,0,0,0,,agent-1,10.2.0
EXEC-0000093,RUN-00009,KT-101,WebOps,KT-101-TC-018,Data reconciliation - WebOps,2026-06-24T00:00:00Z,2026-06-22,Checkout,2026-06-24T16:08:43Z,2026-06-22,Staging,Edge,PASSED,413,0,0,0,0,,agent-2,10.1.1
EXEC-0000094,RUN-00009,KT-101,WebOps,KT-101-TC-019,Dashboard load - WebOps,2026-06-25T00:00:00Z,2026-06-22,Smoke,2026-06-25T14:31:56Z,2026-06-22,Staging,Edge,PASSED,156,0,0,0,0,,agent-1,10.1.1
EXEC-0000095,RUN-00009,KT-101,WebOps,KT-101-TC-020,User logout - WebOps,2026-06-26T00:00:00Z,2026-06-22,Regression,2026-06-26T14:34:34Z,2026-06-22,QA,Chrome,PASSED,43,0,0,0,0,,agent-3,10.2.0
EXEC-0000096,RUN-00010,KT-101,WebOps,KT-101-TC-001,Login valid user - WebOps,2026-05-25T00:00:00Z,2026-05-25,Smoke,2026-06-27T13:18:18Z,2026-06-22,Staging,Chrome,PASSED,363,0,0,0,0,,agent-2,10.1.1
EXEC-0000097,RUN-00010,KT-101,WebOps,KT-101-TC-002,Password reset - WebOps,2026-05-26T00:00:00Z,2026-05-25,Regression,2026-06-27T12:26:23Z,2026-06-22,QA,Chrome,PASSED,18,0,0,0,0,,agent-1,10.2.0
EXEC-0000098,RUN-00010,KT-101,WebOps,KT-101-TC-005,Edit record - WebOps,2026-06-05T00:00:00Z,2026-06-01,Regression,2026-06-26T12:07:11Z,2026-06-22,Staging,Chrome,PASSED,112,0,0,0,0,,agent-1,10.1.1
EXEC-0000099,RUN-00010,KT-101,WebOps,KT-101-TC-006,Delete record - WebOps,2026-06-01T00:00:00Z,2026-06-01,Checkout,2026-06-27T08:02:02Z,2026-06-22,Staging,Chrome,PASSED,36,0,0,0,0,,agent-2,10.1.1
EXEC-0000100,RUN-00010,KT-101,WebOps,KT-101-TC-007,Role permissions - WebOps,2026-06-02T00:00:00Z,2026-06-01,Smoke,2026-06-25T16:07:18Z,2026-06-22,QA,Chrome,PASSED,216,0,0,0,0,,agent-2,10.2.0
EXEC-0000101,RUN-00010,KT-101,WebOps,KT-101-TC-008,Session timeout - WebOps,2026-06-03T00:00:00Z,2026-06-01,Regression,2026-06-27T13:46:55Z,2026-06-22,Staging,Edge,PASSED,283,0,0,0,0,,agent-3,10.1.1
EXEC-0000102,RUN-00010,KT-101,WebOps,KT-101-TC-009,Export results - WebOps,2026-06-11T00:00:00Z,2026-06-08,Checkout,2026-06-27T12:09:59Z,2026-06-22,Staging,Chrome,PASSED,262,0,0,0,0,,agent-3,10.2.1
EXEC-0000103,RUN-00010,KT-101,WebOps,KT-101-TC-013,API authorization - WebOps,2026-06-17T00:00:00Z,2026-06-15,Smoke,2026-06-25T07:10:44Z,2026-06-22,QA,Chrome,PASSED,191,0,0,0,0,,agent-5,10.1.1
EXEC-0000104,RUN-00010,KT-101,WebOps,KT-101-TC-014,Invalid input - WebOps,2026-06-18T00:00:00Z,2026-06-15,Regression,2026-06-26T14:42:37Z,2026-06-22,QA,Chrome,PASSED,233,0,0,0,0,,agent-3,10.1.1
EXEC-0000105,RUN-00010,KT-101,WebOps,KT-101-TC-016,Notification delivery - WebOps,2026-06-15T00:00:00Z,2026-06-15,Smoke,2026-06-26T14:48:20Z,2026-06-22,QA,Edge,PASSED,374,0,0,0,0,,agent-6,10.1.1
